reset
z:-3.93263050045, rot:0.49558149593
z:-3.99114645062, rot:0.505910816266
z:-4.00999753695, rot:0.491563816604
z:-3.97265769128, rot:0.467101647482
z:-3.87527867915, rot:0.445902742815
z:-3.86216939431, rot:0.423506138571
z:-3.82957729301, rot:0.419915328987
z:-3.78564523735, rot:0.4245783292
z:-3.7425546841, rot:0.432000812394
z:-3.73572416825, rot:0.42309342037
z:-3.71804446956, rot:0.453355259353
z:-3.70086905812, rot:0.467347274702
z:-3.70291213945, rot:0.445559455222
z:-3.70566983876, rot:0.424497896758
z:-3.71587198538, rot:0.414010815836
z:-3.65256980305, rot:0.440844037721
z:-3.57950010195, rot:0.463964908492
z:-3.5714465257, rot:0.483166934665
z:-3.53242969871, rot:0.504445705831
z:-3.5834570876, rot:0.498213839909
z:-3.56914225571, rot:0.489421204921
z:-3.5035719004, rot:0.475031245265
z:-3.44122636057, rot:0.477481086917
z:-3.47409378624, rot:0.471983177128
z:-3.48410976965, rot:0.502610950789
z:-3.49942870581, rot:0.511857482034
z:-3.55098871382, rot:0.515809929449
z:-3.59598727296, rot:0.521398347697
z:-3.74705509257, rot:0.496014437174
z:-3.81817282237, rot:0.492681430094
z:-3.78787214059, rot:0.450296333146
z:-3.72093703526, rot:0.412606695138
z:-3.6706543091, rot:0.408206844741
z:-3.66183700806, rot:0.413421629059
z:-3.71452824946, rot:0.411716049919
z:-3.73487938958, rot:0.399151351635
z:-3.7743969425, rot:0.414361131347
z:-3.80853116367, rot:0.414990774121
z:-3.81535095033, rot:0.419253356008
z:-3.83186253171, rot:0.404710352001
z:-3.85157097723, rot:0.371515474918
z:-3.91169576084, rot:0.344503861207
z:-3.97428940671, rot:0.327901621004
z:-3.98261362577, rot:0.293776438599
z:-3.94281659778, rot:0.280466635403
z:-3.95487209129, rot:0.254014902223
z:-3.93773114888, rot:0.245472079985
z:-3.89640580886, rot:0.268461218155
z:-3.84774968943, rot:0.249240720185
z:-3.80679700013, rot:0.231790252881
z:-3.75522741026, rot:0.237301933005
z:-3.70711127028, rot:0.245362738293
z:-3.70804529037, rot:0.251774975276
z:-3.70921099621, rot:0.283434047629
z:-3.68040349791, rot:0.299197979895
z:-3.6172199713, rot:0.32481456495
z:-3.57429139852, rot:0.312392436701
z:-3.58611430101, rot:0.33371483319
z:-3.61451817153, rot:0.308692140422
z:-3.61296399507, rot:0.323995434234
z:-3.60722087044, rot:0.338003216194
z:-3.58921468214, rot:0.332213396702
z:-3.5800531536, rot:0.317404404587
z:-3.5777547618, rot:0.3309296627
z:-3.56264490055, rot:0.322855230549
z:-3.49423160616, rot:0.319178138257
z:-3.39899596475, rot:0.303119532859
z:-3.32908005852, rot:0.324257981791
z:-3.28250073614, rot:0.32287775564
z:-3.21289540261, rot:0.307710424539
z:-3.20745620127, rot:0.291956757123
z:-3.2686327572, rot:0.285720679155
z:-3.25959442003, rot:0.258543894524
z:-3.25516740867, rot:0.275927786731
z:-3.29488393703, rot:0.28467283639
z:-3.27776767557, rot:0.249024841475
z:-3.23556659677, rot:0.225027038751
z:-3.20969750833, rot:0.241330094349
z:-3.22244585582, rot:0.261268063049
z:-3.20362708553, rot:0.290712832744
z:-3.14906924465, rot:0.277196238278
z:-3.15748782624, rot:0.282874773674
z:-3.19022056398, rot:0.307884128121
z:-3.20880312881, rot:0.312484891709
z:-3.21358238498, rot:0.313468877219
z:-3.25941404033, rot:0.31958648732
z:-3.24805624482, rot:0.35562913782
z:-3.25371900736, rot:0.379834476127
z:-3.2423296024, rot:0.396346769481
z:-3.285325255, rot:0.380290236344
z:-3.32972980897, rot:0.382072401773
z:-3.3445439359, rot:0.400128547379
z:-3.32448016013, rot:0.398352364821
z:-3.27233840524, rot:0.423760916001
z:-3.26829117029, rot:0.448773859015
z:-3.30433977969, rot:0.462674057977
z:-3.31270043183, rot:0.455517367569
z:-3.28629535789, rot:0.48461826645
z:-3.26719104938, rot:0.513880889247
z:-3.24284651815, rot:0.506236522043
z:-3.2788211656, rot:0.510159079128
z:-3.30346483559, rot:0.495435815013
z:-3.33806022296, rot:0.488057723252
z:-3.34029239978, rot:0.467706241752
z:-3.35490358991, rot:0.485393870957
z:-3.39118225032, rot:0.473920571239
z:-3.41804206395, rot:0.499351722385
z:-3.47152489101, rot:0.532225478692
z:-3.50709733685, rot:0.525805686815
z:-3.5754421874, rot:0.510107941698
z:-3.57817386913, rot:0.482109315626
z:-3.5624585131, rot:0.4708632657
z:-3.53717594027, rot:0.460305650208
z:-3.58338767818, rot:0.46697067101
z:-3.61916012156, rot:0.495327180571
z:-3.65223853408, rot:0.485895889863
z:-3.63235527816, rot:0.463864561183
z:-3.59413724831, rot:0.431655746278
z:-3.56664056169, rot:0.42363493868
z:-3.49996384829, rot:0.390586315815
z:-3.40105340771, rot:0.372362026671
z:-3.3807113015, rot:0.407847314607
z:-3.38163065733, rot:0.398430357506
z:-3.3884521088, rot:0.384743303713
z:-3.38190636103, rot:0.371745944166
z:-3.39705081984, rot:0.399460797405
z:-3.4458332185, rot:0.409831395398
z:-3.49650217595, rot:0.398883518281
z:-3.54348401299, rot:0.419548261475
z:-3.55002664315, rot:0.419745057218
z:-3.58861964362, rot:0.42908393746
z:-3.63821203445, rot:0.408262930091
z:-3.61544980209, rot:0.423821981938
z:-3.61260701174, rot:0.408055604313
z:-3.53890929575, rot:0.376806504301
z:-3.53579712216, rot:0.345867238821
z:-3.5145682733, rot:0.34063975744
z:-3.49344341273, rot:0.334859389376
z:-3.50912713167, rot:0.347110025213
z:-3.52813032286, rot:0.367062362688
z:-3.50945096782, rot:0.380663673644
z:-3.47156281496, rot:0.3678487823
z:-3.42131301742, rot:0.378156235368
z:-3.38261970716, rot:0.416050726396
z:-3.34479987763, rot:0.433022186686
z:-3.38397380397, rot:0.431743425115
z:-3.4321884907, rot:0.458847785313
z:-3.46797025139, rot:0.501059143757
z:-3.42777195851, rot:0.470357096336
z:-3.34969353886, rot:0.484270593872
z:-3.32895496195, rot:0.46593530266
z:-3.32687984312, rot:0.459236618791
z:-3.27200772294, rot:0.442984268357
z:-3.23152162941, rot:0.447513054762
z:-3.21260476684, rot:0.431994505842
z:-3.13423557139, rot:0.444456113194
z:-3.14108064823, rot:0.419926621236
z:-3.1447794156, rot:0.389293237775
z:-3.18134027644, rot:0.385869695186
z:-3.21816534595, rot:0.37761629642
z:-3.25556251298, rot:0.392164327014
z:-3.23545230084, rot:0.381579278394
z:-3.19078441381, rot:0.370279491649
z:-3.1231666962, rot:0.405510651371
z:-2.97754389355, rot:0.405507519866
z:-2.91040924028, rot:0.402555982817
z:-2.84406763708, rot:0.415235273876
z:-2.78195301336, rot:0.425946141431
z:-2.76294813742, rot:0.410198837069
z:-2.73615232507, rot:0.38416415096
z:-2.71434891046, rot:0.390514695226
z:-2.76016925972, rot:0.403184951341
z:-2.81094547308, rot:0.391386617357
z:-2.87341187382, rot:0.378790116158
z:-2.91947773934, rot:0.391812755591
z:-2.97460630272, rot:0.371689005021
z:-2.98974470383, rot:0.348482112915
z:-2.95230396058, rot:0.325870617604
z:-2.96554584465, rot:0.347981689715
z:-2.94662882221, rot:0.348879788542
z:-2.94307464389, rot:0.360829512615
z:-2.96024460302, rot:0.342318220973
z:-2.9679339198, rot:0.327765542737
z:-2.98145192634, rot:0.29874730486
z:-3.00690194299, rot:0.288856017836
z:-2.9704168091, rot:0.303799719172
z:-2.99137108742, rot:0.318603453305
z:-3.00473345828, rot:0.340119221511
